Row_Number,Column,Original_Value,Replacement_Value
5416.0,Ele,0.0,-1.0
5436.0,Ele,0.0,-1.0
5447.0,Ele,0.0,-1.0
5481.0,Ele,0.0,-1.0
5495.0,Ele,-2.0,-1.0
734.0,Thr,1019.0,1024.0
3022.0,Thr,1023.0,1024.0
3741.0,Thr,1018.0,1024.0
4085.0,Thr,901.0,1024.0
165.0,Ail,554.0,2.0
172.0,Ail,342.0,1.0
199.0,Ail,-230.0,0.0
259.0,Ail,-359.0,0.0
295.0,Ail,39.0,0.5
1088.0,Ail,87.0,1.0
1753.0,Ail,133.0,0.5
1785.0,Ail,-145.0,0.0
1846.0,Ail,-190.0,0.0
1858.0,Ail,403.0,1.0
1865.0,Ail,-543.0,0.5
1937.0,Ail,-148.0,0.0
1963.0,Ail,-339.0,0.0
2065.0,Ail,0.0,-759.5
2125.0,Ail,230.0,1.0
2174.0,Ail,-505.0,0.0
2232.0,Ail,-157.0,0.0
2290.0,Ail,-13.0,0.0
2313.0,Ail,-407.0,0.5
2353.0,Ail,-407.0,0.0
2370.0,Ail,-231.0,0.0
2431.0,Ail,701.0,0.5
2449.0,Ail,-806.0,0.0
2494.0,Ail,211.0,0.5
2771.0,Ail,220.0,1.0
2781.0,Ail,-103.0,0.0
3100.0,Ail,-353.0,0.0
3106.0,Ail,74.0,0.0
3276.0,Ail,-279.0,1.0
3627.0,Ail,-384.0,0.5
3696.0,Ail,-610.0,-0.5
3821.0,Ail,216.0,1.0
3982.0,Ail,517.0,1.0
4009.0,Ail,-69.0,0.5
4020.0,Ail,500.0,1.0
4064.0,Ail,-307.0,0.5
4634.0,Ail,-403.0,0.0
4649.0,Ail,-305.0,0.5
4754.0,Ail,0.0,1.0
4762.0,Ail,242.0,1.0
4770.0,Ail,-452.0,1.0
4796.0,Ail,-648.0,-0.5
4827.0,Ail,200.0,1.0
4992.0,Ail,-16.0,0.5
5011.0,Ail,43.0,0.5
5172.0,Ail,-91.0,0.0
5179.0,Ail,-573.0,-3.5
5364.0,Ail,0.0,1.0
5404.0,Ail,0.0,1.0
5418.0,Ail,0.0,1.0
5428.0,Ail,0.0,1.0
5494.0,Ail,0.0,1.0
40.0,P1,-5.0,-6.0
47.0,P1,-5.0,-6.0
57.0,P1,-5.0,-6.0
63.0,P1,-5.0,-6.0
218.0,P1,-7.0,-6.0
346.0,P1,-5.0,-6.0
356.0,P1,-5.0,-6.0
418.0,P1,-5.0,-6.0
495.0,P1,-5.0,-6.0
668.0,P1,-5.0,-6.0
680.0,P1,-5.0,-6.0
701.0,P1,-5.0,-6.0
804.0,P1,-5.0,-6.0
955.0,P1,-5.0,-6.0
973.0,P1,-5.0,-6.0
1014.0,P1,-5.0,-6.0
1050.0,P1,-5.0,-6.0
1166.0,P1,-5.0,-6.0
1187.0,P1,-5.0,-6.0
1232.0,P1,-5.0,-6.0
1268.0,P1,-5.0,-6.0
1319.0,P1,-5.0,-6.0
1503.0,P1,-5.0,-6.0
1515.0,P1,-5.0,-6.0
1597.0,P1,-5.0,-6.0
1622.0,P1,-5.0,-6.0
1693.0,P1,-5.0,-6.0
2068.0,P1,-5.0,-6.0
2449.0,P1,-5.0,-6.0
2647.0,P1,-5.0,-6.0
2688.0,P1,-5.0,-6.0
2735.0,P1,-5.0,-6.0
2742.0,P1,-5.0,-6.0
3001.0,P1,-5.0,-6.0
3066.0,P1,-5.0,-6.0
3128.0,P1,-5.0,-6.0
3134.0,P1,-5.0,-6.0
3182.0,P1,-5.0,-6.0
3219.0,P1,-7.0,-6.0
3325.0,P1,-5.0,-6.0
3331.0,P1,-5.0,-6.0
3356.0,P1,-5.0,-6.0
3389.0,P1,-7.0,-6.0
3398.0,P1,-5.0,-6.0
3404.0,P1,-5.0,-6.0
3416.0,P1,-5.0,-6.0
3464.0,P1,-5.0,-6.0
3478.0,P1,-5.0,-6.0
3504.0,P1,-5.0,-6.0
3543.0,P1,-5.0,-6.0
3552.0,P1,-5.0,-6.0
3607.0,P1,-5.0,-6.0
3663.0,P1,-5.0,-6.0
3676.0,P1,-5.0,-6.0
3731.0,P1,-7.0,-6.0
3744.0,P1,-7.0,-6.0
3796.0,P1,-7.0,-6.0
3839.0,P1,-5.0,-6.0
3952.0,P1,-7.0,-6.0
3968.0,P1,-7.0,-6.0
4002.0,P1,-5.0,-6.0
4075.0,P1,-5.0,-6.0
4148.0,P1,-7.0,-6.0
4177.0,P1,-7.0,-6.0
4207.0,P1,-7.0,-6.0
4216.0,P1,-7.0,-6.0
4234.0,P1,-7.0,-6.0
4266.0,P1,-7.0,-6.0
4288.0,P1,-7.0,-6.0
4303.0,P1,-5.0,-6.0
4395.0,P1,-5.0,-6.0
4443.0,P1,-7.0,-6.0
4510.0,P1,-7.0,-6.0
4526.0,P1,-7.0,-6.0
4618.0,P1,-5.0,-6.0
4641.0,P1,-5.0,-6.0
4661.0,P1,-5.0,-6.0
4685.0,P1,-5.0,-6.0
4699.0,P1,-7.0,-6.0
4738.0,P1,-5.0,-6.0
4796.0,P1,-5.0,-6.0
4803.0,P1,-5.0,-6.0
5035.0,P1,-5.0,-6.0
5063.0,P1,-5.0,-6.0
5104.0,P1,-5.0,-6.0
5165.0,P1,-5.0,-6.0
5191.0,P1,-5.0,-6.0
5265.0,P1,-5.0,-6.0
199.0,P3,-305.0,-306.0
1633.0,SL1,-946.0,-947.0
1640.0,SL1,-946.0,-947.0
1649.0,SL1,-946.0,-947.0
1700.0,SL1,-946.0,-947.0
1810.0,SL1,-962.0,-961.0
1890.0,SL1,-965.0,-964.0
2022.0,SL1,-1023.0,-1022.0
2140.0,SL1,-1023.0,-1024.0
2201.0,SL1,-1024.0,-1023.0
2338.0,SL1,-1020.0,-1024.0
5335.0,SL1,-719.0,-718.0
18.0,CH1(us),1647.0,1539.0
165.0,CH1(us),1588.0,1534.5
172.0,CH1(us),1558.0,1532.5
199.0,CH1(us),1522.0,1532.0
259.0,CH1(us),1488.0,1532.0
540.0,CH1(us),1517.0,1539.0
592.0,CH1(us),1265.0,1522.5
725.0,CH1(us),1428.0,1537.0
760.0,CH1(us),1388.0,1540.0
1113.0,CH1(us),1411.0,1532.5
1785.0,CH1(us),1505.0,1511.0
1858.0,CH1(us),1529.0,1511.0
1865.0,CH1(us),1454.0,1511.0
2174.0,CH1(us),1453.0,1532.0
2268.0,CH1(us),1365.0,1530.5
2370.0,CH1(us),1515.0,1532.0
2431.0,CH1(us),1615.0,1539.0
2449.0,CH1(us),1288.0,1532.0
2470.0,CH1(us),1404.0,1535.0
2494.0,CH1(us),1547.0,1532.0
2556.0,CH1(us),1439.0,1532.0
2582.0,CH1(us),1457.0,1532.0
2760.0,CH1(us),1297.0,1529.5
2771.0,CH1(us),1550.0,1532.0
2781.0,CH1(us),1530.0,1532.0
2958.0,CH1(us),1294.0,1537.5
3087.0,CH1(us),1443.0,1532.0
3106.0,CH1(us),1545.0,1532.0
3269.0,CH1(us),1204.0,1537.0
3276.0,CH1(us),1519.0,1539.0
3627.0,CH1(us),1493.0,1539.0
3663.0,CH1(us),1324.0,1539.0
3696.0,CH1(us),1411.0,1539.0
3915.0,CH1(us),1353.0,1532.0
3933.0,CH1(us),1465.0,1532.0
3994.0,CH1(us),1498.0,1527.0
4009.0,CH1(us),1523.0,1527.0
4020.0,CH1(us),1570.0,1527.0
4064.0,CH1(us),1500.0,1532.0
4362.0,CH1(us),1600.0,1539.0
4395.0,CH1(us),1196.0,1556.0
4556.0,CH1(us),1476.0,1539.0
4655.0,CH1(us),1494.0,1539.0
4728.0,CH1(us),1139.0,1538.5
4738.0,CH1(us),1397.0,1539.0
4762.0,CH1(us),1544.0,1527.0
4770.0,CH1(us),1450.0,1527.0
4780.0,CH1(us),1531.0,1527.0
4796.0,CH1(us),1371.0,1527.0
4812.0,CH1(us),1327.0,1548.5
4879.0,CH1(us),1437.0,1539.0
4901.0,CH1(us),1391.0,1539.0
4962.0,CH1(us),1556.0,1539.0
5011.0,CH1(us),1546.0,1539.0
5179.0,CH1(us),1427.0,1539.0
18.0,CH2(us),1507.0,1488.0
36.0,CH2(us),1498.0,1488.5
199.0,CH2(us),1539.0,1486.0
240.0,CH2(us),1561.0,1486.0
708.0,CH2(us),1569.0,1488.5
1198.0,CH2(us),1638.0,1486.0
1558.0,CH2(us),1547.0,1486.0
1564.0,CH2(us),1495.0,1486.0
1601.0,CH2(us),1550.0,1486.5
1762.0,CH2(us),1500.0,1484.0
1791.0,CH2(us),1488.0,1484.0
1850.0,CH2(us),1490.0,1484.0
1877.0,CH2(us),1507.0,1484.0
1885.0,CH2(us),1489.0,1484.0
1959.0,CH2(us),1508.0,1486.0
2117.0,CH2(us),1551.0,1486.0
2157.0,CH2(us),1511.0,1486.0
2174.0,CH2(us),1535.0,1486.0
2232.0,CH2(us),1543.0,1486.0
2264.0,CH2(us),1536.0,1486.0
2304.0,CH2(us),1534.0,1486.0
2363.0,CH2(us),1504.0,1486.0
2442.0,CH2(us),1534.0,1488.0
2488.0,CH2(us),1487.0,1486.0
2538.0,CH2(us),1533.0,1486.0
2545.0,CH2(us),1530.0,1486.0
2553.0,CH2(us),1508.0,1486.0
2561.0,CH2(us),1493.0,1486.0
2566.0,CH2(us),1505.0,1486.0
2597.0,CH2(us),1514.0,1486.0
2771.0,CH2(us),1495.0,1486.0
2781.0,CH2(us),1503.0,1486.0
3066.0,CH2(us),1662.0,1486.0
3106.0,CH2(us),1528.0,1486.0
3260.0,CH2(us),1536.0,1488.0
3268.0,CH2(us),1540.0,1488.0
3652.0,CH2(us),1595.0,1488.0
3660.0,CH2(us),1589.0,1488.0
3864.0,CH2(us),1669.0,1488.5
3871.0,CH2(us),1559.0,1488.0
3894.0,CH2(us),1514.0,1486.0
3966.0,CH2(us),1637.0,1488.5
3980.0,CH2(us),1549.0,1484.0
3996.0,CH2(us),1510.0,1484.0
4003.0,CH2(us),1523.0,1484.0
4019.0,CH2(us),1450.0,1484.0
4031.0,CH2(us),1485.0,1484.0
4039.0,CH2(us),1493.0,1484.0
4051.0,CH2(us),1552.0,1485.0
4719.0,CH2(us),1462.0,1488.0
4725.0,CH2(us),1580.0,1488.0
4762.0,CH2(us),1485.0,1484.0
4770.0,CH2(us),1485.0,1484.0
4780.0,CH2(us),1500.0,1484.0
4825.0,CH2(us),1540.0,1488.5
4952.0,CH2(us),1638.0,1488.5
4960.0,CH2(us),1608.0,1488.0
4967.0,CH2(us),1539.0,1488.5
4975.0,CH2(us),1556.0,1491.0
4994.0,CH2(us),1503.0,1488.0
5011.0,CH2(us),1506.0,1488.0
5190.0,CH2(us),1509.0,1488.0
5196.0,CH2(us),1568.0,1488.0
5214.0,CH2(us),1562.0,1489.0
5495.0,CH2(us),1489.0,1488.0
18.0,CH4(us),1747.0,1512.0
165.0,CH4(us),1622.0,1510.0
172.0,CH4(us),1568.0,1510.0
199.0,CH4(us),1469.0,1510.0
259.0,CH4(us),1466.0,1510.0
1785.0,CH4(us),1511.0,1525.0
1858.0,CH4(us),1568.0,1525.0
1963.0,CH4(us),1480.0,1510.0
2174.0,CH4(us),1438.0,1510.0
2232.0,CH4(us),1476.0,1510.0
2290.0,CH4(us),1508.0,1510.0
2313.0,CH4(us),1452.0,1510.0
2353.0,CH4(us),1455.0,1508.5
2370.0,CH4(us),1477.0,1510.0
2431.0,CH4(us),1688.0,1512.0
2494.0,CH4(us),1543.0,1510.0
2582.0,CH4(us),1437.0,1510.0
2781.0,CH4(us),1491.0,1510.0
3100.0,CH4(us),1457.0,1510.0
3106.0,CH4(us),1511.0,1510.0
3276.0,CH4(us),1469.0,1512.0
3880.0,CH4(us),1600.0,1510.0
3982.0,CH4(us),1616.0,1511.0
4009.0,CH4(us),1500.0,1511.0
4020.0,CH4(us),1610.0,1511.0
4064.0,CH4(us),1472.0,1510.0
4634.0,CH4(us),1450.0,1512.0
4649.0,CH4(us),1457.0,1512.0
4762.0,CH4(us),1549.0,1511.0
4770.0,CH4(us),1458.0,1511.0
4780.0,CH4(us),1507.0,1511.0
5011.0,CH4(us),1514.0,1512.0
199.0,CH5(us),1236.0,1212.0
240.0,CH5(us),1260.0,1212.0
701.0,CH5(us),1151.0,1236.0
1346.0,CH5(us),1249.0,1263.0
1371.0,CH5(us),1214.0,1263.5
1564.0,CH5(us),1225.0,1212.0
1619.0,CH5(us),1219.0,1263.0
1762.0,CH5(us),1189.0,1167.0
1791.0,CH5(us),1173.0,1167.0
1850.0,CH5(us),1176.0,1167.0
1877.0,CH5(us),1197.0,1167.0
1885.0,CH5(us),1174.0,1167.0
1959.0,CH5(us),1241.0,1212.0
2157.0,CH5(us),1244.0,1212.5
2174.0,CH5(us),1247.0,1212.0
2232.0,CH5(us),1251.0,1212.0
2264.0,CH5(us),1248.0,1212.0
2282.0,CH5(us),1213.0,1212.0
2304.0,CH5(us),1247.0,1212.0
2363.0,CH5(us),1228.0,1212.0
2405.0,CH5(us),1221.0,1188.0
2411.0,CH5(us),1216.0,1188.0
2488.0,CH5(us),1214.0,1212.0
2538.0,CH5(us),1247.0,1212.0
2545.0,CH5(us),1244.0,1212.0
2553.0,CH5(us),1231.0,1212.0
2561.0,CH5(us),1219.0,1212.0
2566.0,CH5(us),1229.0,1212.0
2771.0,CH5(us),1221.0,1212.0
2781.0,CH5(us),1228.0,1212.0
2900.0,CH5(us),1285.0,1236.0
2908.0,CH5(us),1267.0,1236.0
3106.0,CH5(us),1243.0,1212.0
3260.0,CH5(us),1270.0,1236.0
3268.0,CH5(us),1272.0,1236.0
3660.0,CH5(us),1286.0,1236.0
3894.0,CH5(us),1235.0,1212.0
3928.0,CH5(us),1258.0,1212.0
3996.0,CH5(us),1210.0,1188.0
4003.0,CH5(us),1218.0,1188.0
4039.0,CH5(us),1216.0,1188.0
4181.0,CH5(us),1236.0,1287.0
4420.0,CH5(us),1236.0,1287.0
4725.0,CH5(us),1286.0,1236.0
4762.0,CH5(us),1189.0,1188.0
4780.0,CH5(us),1202.0,1188.0
4825.0,CH5(us),1272.0,1236.0
4960.0,CH5(us),1287.0,1236.0
4967.0,CH5(us),1272.0,1236.0
4994.0,CH5(us),1249.0,1236.0
5011.0,CH5(us),1251.0,1236.0
5184.0,CH5(us),1254.0,1236.0
5190.0,CH5(us),1253.0,1236.0
5196.0,CH5(us),1285.0,1236.0
5214.0,CH5(us),1283.0,1236.0
18.0,CH6(us),1890.0,1804.0
199.0,CH6(us),1783.0,1834.0
253.0,CH6(us),1821.0,1834.0
1346.0,CH6(us),1792.0,1776.0
1371.0,CH6(us),1833.0,1775.0
1564.0,CH6(us),1820.0,1834.0
1619.0,CH6(us),1827.0,1775.5
1762.0,CH6(us),1858.0,1884.0
1791.0,CH6(us),1876.0,1884.0
1850.0,CH6(us),1874.0,1884.0
1866.0,CH6(us),1883.0,1884.0
1877.0,CH6(us),1849.0,1884.0
1885.0,CH6(us),1875.0,1884.0
1959.0,CH6(us),1801.0,1834.0
2157.0,CH6(us),1797.0,1834.0
2174.0,CH6(us),1794.0,1834.0
2232.0,CH6(us),1789.0,1834.0
2264.0,CH6(us),1793.0,1834.0
2304.0,CH6(us),1795.0,1834.0
2363.0,CH6(us),1816.0,1834.0
2405.0,CH6(us),1827.0,1865.0
2411.0,CH6(us),1833.0,1865.0
2488.0,CH6(us),1833.0,1834.0
2538.0,CH6(us),1795.0,1834.0
2545.0,CH6(us),1797.0,1834.0
2553.0,CH6(us),1812.0,1834.0
2561.0,CH6(us),1827.0,1834.0
2566.0,CH6(us),1815.0,1834.0
2771.0,CH6(us),1825.0,1834.0
2781.0,CH6(us),1817.0,1834.0
2900.0,CH6(us),1748.0,1804.0
2908.0,CH6(us),1769.0,1804.0
3106.0,CH6(us),1798.0,1834.0
3260.0,CH6(us),1765.0,1804.0
3268.0,CH6(us),1762.0,1804.0
3660.0,CH6(us),1746.0,1804.0
3894.0,CH6(us),1809.0,1834.0
3928.0,CH6(us),1781.0,1834.0
3996.0,CH6(us),1840.0,1865.0
4003.0,CH6(us),1830.0,1865.0
4039.0,CH6(us),1833.0,1865.0
4181.0,CH6(us),1804.0,1745.0
4420.0,CH6(us),1804.0,1745.0
4725.0,CH6(us),1746.0,1804.0
4762.0,CH6(us),1864.0,1865.0
4780.0,CH6(us),1849.0,1865.0
4825.0,CH6(us),1762.0,1804.0
4960.0,CH6(us),1745.0,1804.0
4967.0,CH6(us),1763.0,1804.0
4994.0,CH6(us),1789.0,1804.0
5011.0,CH6(us),1786.0,1804.0
5184.0,CH6(us),1784.0,1804.0
5190.0,CH6(us),1784.0,1804.0
5196.0,CH6(us),1748.0,1804.0
5214.0,CH6(us),1750.0,1804.0
44.0,CH7(us),1490.0,1489.0
93.0,CH7(us),1628.0,1489.0
137.0,CH7(us),1361.0,1489.0
147.0,CH7(us),1546.0,1492.5
165.0,CH7(us),1363.0,1492.0
199.0,CH7(us),1702.0,1493.0
239.0,CH7(us),1653.0,1493.0
559.0,CH7(us),1531.0,1489.0
650.0,CH7(us),1731.0,1489.5
708.0,CH7(us),1576.0,1489.0
770.0,CH7(us),1394.0,1489.0
988.0,CH7(us),1490.0,1489.0
1123.0,CH7(us),1493.0,1492.0
1529.0,CH7(us),1330.0,1492.0
1578.0,CH7(us),1366.0,1492.0
1727.0,CH7(us),1491.0,1492.0
1762.0,CH7(us),1636.0,1494.0
1877.0,CH7(us),1577.0,1494.0
1907.0,CH7(us),1468.0,1494.0
2075.0,CH7(us),1655.0,1492.0
2081.0,CH7(us),1344.0,1492.0
2151.0,CH7(us),1510.0,1493.0
2258.0,CH7(us),1359.0,1492.0
2297.0,CH7(us),1493.0,1492.0
2304.0,CH7(us),1616.0,1492.5
2384.0,CH7(us),1520.0,1493.0
2390.0,CH7(us),1508.0,1492.0
2398.0,CH7(us),1311.0,1492.0
2471.0,CH7(us),1514.0,1492.5
2528.0,CH7(us),1699.0,1492.5
2566.0,CH7(us),1604.0,1492.5
2771.0,CH7(us),1239.0,1492.0
2847.0,CH7(us),1493.0,1492.0
3015.0,CH7(us),1410.0,1489.0
3029.0,CH7(us),1201.0,1492.0
3341.0,CH7(us),1759.0,1490.0
3633.0,CH7(us),1462.0,1489.0
3821.0,CH7(us),1416.0,1489.0
4005.0,CH7(us),1740.0,1492.5
4031.0,CH7(us),1427.0,1492.0
4048.0,CH7(us),1470.0,1492.0
4054.0,CH7(us),1289.0,1492.0
4063.0,CH7(us),1493.0,1492.0
4069.0,CH7(us),1493.0,1492.0
4556.0,CH7(us),1555.0,1489.0
4602.0,CH7(us),1793.0,1489.0
4655.0,CH7(us),1575.0,1489.0
4709.0,CH7(us),1488.0,1489.0
4718.0,CH7(us),1330.0,1489.0
4725.0,CH7(us),1444.0,1489.0
4741.0,CH7(us),1702.0,1489.5
4762.0,CH7(us),1371.0,1493.0
4821.0,CH7(us),1392.0,1489.0
4947.0,CH7(us),1319.0,1488.0
4962.0,CH7(us),1456.0,1489.0
5014.0,CH7(us),1270.0,1489.0
5044.0,CH7(us),1399.0,1488.0
5165.0,CH7(us),1570.0,1490.0
18.0,CH9(us),1387.0,1442.0
165.0,CH9(us),1430.0,1463.0
199.0,CH9(us),1449.0,1464.0
240.0,CH9(us),1433.0,1464.0
701.0,CH9(us),1523.0,1445.0
1516.0,CH9(us),1435.0,1462.5
1785.0,CH9(us),1498.0,1496.0
1865.0,CH9(us),1517.0,1496.0
2174.0,CH9(us),1475.0,1464.0
2232.0,CH9(us),1443.0,1464.0
2494.0,CH9(us),1458.0,1464.0
2638.0,CH9(us),1559.0,1472.5
2760.0,CH9(us),1548.0,1464.0
2771.0,CH9(us),1453.0,1464.0
2781.0,CH9(us),1457.0,1464.0
